Atoms	Quanta	Temperature	Cv
1	230000	3.320049E+07	1.662899E+01
1	240000	3.464398E+07	1.662885E+01
1	250000	3.608747E+07	1.662888E+01
1	260000	3.753096E+07	1.662894E+01
1	270000	3.897445E+07	1.662894E+01
1	280000	4.041794E+07	1.662897E+01
1	290000	4.186143E+07	1.662888E+01
1	300000	4.330492E+07	1.662887E+01
1	310000	4.474842E+07	1.662894E+01
1	320000	4.619191E+07	1.662886E+01
1	330000	4.763540E+07	1.662902E+01
1	340000	4.907889E+07	1.662887E+01
1	350000	5.052238E+07	1.662891E+01
1	360000	5.196587E+07	1.662888E+01
1	370000	5.340936E+07	1.662888E+01
1	380000	5.485285E+07	1.662881E+01
1	390000	5.629634E+07	1.662914E+01
1	400000	5.773983E+07	1.662888E+01
1	410000	5.918332E+07	1.662900E+01
1	420000	6.062681E+07	1.662896E+01
1	430000	6.207030E+07	1.662885E+01
1	440000	6.351379E+07	1.662881E+01
1	450000	6.495728E+07	1.662889E+01
1	460000	6.640077E+07	1.662893E+01
1	470000	6.784426E+07	1.662930E+01
1	480000	6.928775E+07	1.662921E+01
1	490000	7.073124E+07	1.662905E+01
1	500000	7.217473E+07	1.662926E+01
1	510000	7.361822E+07	1.662926E+01
1	520000	7.506171E+07	1.662922E+01
1	530000	7.650520E+07	1.662915E+01
1	540000	7.794869E+07	1.662883E+01
1	550000	7.939218E+07	1.662882E+01
1	560000	8.083567E+07	1.662944E+01
1	570000	8.227916E+07	1.662889E+01
1	580000	8.372265E+07	1.662906E+01
1	590000	8.516614E+07	1.662910E+01
1	600000	8.660963E+07	1.662890E+01
1	610000	8.805312E+07	1.662848E+01
1	620000	8.949661E+07	1.662949E+01
1	630000	9.094010E+07	1.662881E+01
1	640000	9.238359E+07	1.662832E+01
1	650000	9.382708E+07	1.662876E+01
1	660000	9.527057E+07	1.662865E+01
1	670000	9.671407E+07	1.662894E+01
1	680000	9.815756E+07	1.662910E+01
1	690000	9.960105E+07	1.662953E+01
1	700000	1.010445E+08	1.662894E+01
1	710000	1.024880E+08	1.662972E+01
1	720000	1.039315E+08	1.662890E+01
1	730000	1.053750E+08	1.662913E+01
1	740000	1.068185E+08	1.662840E+01
1	750000	1.082620E+08	1.662973E+01
